ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
1,77,18,2023-12-23,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
2,80,19,2024-12-25,5,The  quality  is    top-notch.,0.0,Positive,0.0 to 0.49
3,50,13,2025-01-26,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
4,78,15,2025-04-21,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
5,64,2,2023-07-16,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
6,81,1,2025-12-21,4,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
7,16,1,2024-01-29,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
8,55,8,2024-08-15,5,The  quality    is  top-notch.,0.0,Positive,0.0 to 0.49
9,3,13,2023-09-01,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
10,78,6,2024-06-17,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
11,54,9,2023-07-17,4,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
12,77,2,2025-01-13,2,Product  did    not  meet  my  expectations.,0.0,Negative,0.0 to 0.49
13,93,6,2024-08-20,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
14,23,2,2025-06-16,4,"Good  quality,  but  could  be  cheaper.",0.2382,Positive,0.0 to 0.49
15,29,11,2023-01-27,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
16,95,17,2023-01-06,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
17,88,4,2025-10-29,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
18,17,16,2024-11-23,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
19,34,13,2024-01-04,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
20,34,6,2023-04-29,1,I  had  a  bad  experience  with  this  product.,-0.5423,Negative,-1.0 to -0.5
21,22,15,2023-04-08,5,Amazing  value  for  the  price.,0.7351,Positive,0.5 to 1.0
22,52,3,2025-10-30,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
23,69,18,2023-07-02,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
24,100,4,2025-07-18,3,"I  love  this    product,  will  buy  again!",0.6696,Mixed Positive,0.5 to 1.0
25,55,20,2024-12-19,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
26,76,11,2024-08-21,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
27,56,6,2025-11-24,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
28,76,8,2025-05-27,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
29,38,13,2023-05-31,4,"I  love  this  product,  will  buy  again!",0.6696,Positive,0.5 to 1.0
30,84,6,2024-03-18,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
31,93,4,2025-08-25,3,"Good  quality,  but  could  be    cheaper.",0.2382,Mixed Positive,0.0 to 0.49
32,91,1,2023-07-15,4,The  quality  is  top-notch.,0.0,Positive,0.0 to 0.49
33,30,2,2023-02-21,4,Shipping  was  fast  and  the  item  was  well-packaged.,0.0,Positive,0.0 to 0.49
34,81,15,2024-03-30,5,"Excellent  product,  highly  recommend!",0.7773,Positive,0.5 to 1.0
35,27,12,2024-03-13,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
36,96,9,2025-12-05,3,"Good  quality,  but  could  be  cheaper.",0.2382,Mixed Positive,0.0 to 0.49
37,38,3,2023-09-11,3,"Average  experience,  nothing    special.",-0.3089,Mixed Negative,-0.49 to 0.0
38,45,17,2024-05-07,5,"Great  purchase,  very  satisfied.",0.8016,Positive,0.5 to 1.0
39,54,1,2023-10-02,5,Customer  support  was  very  helpful.,0.6997,Positive,0.5 to 1.0
40,33,2,2025-01-03,5,Five  stars    for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
41,93,17,2025-05-15,3,"Average  experience,  nothing  special.",-0.3089,Mixed Negative,-0.49 to 0.0
42,72,15,2023-03-21,5,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
43,84,15,2025-02-02,4,Exceeded  my    expectations!,0.0,Positive,0.0 to 0.49
44,44,17,2023-04-20,5,"Excellent  product,    highly  recommend!",0.7773,Positive,0.5 to 1.0
45,11,16,2023-03-23,3,Not  worth  the  money.,-0.1695,Mixed Negative,-0.49 to 0.0
46,27,5,2025-05-07,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
47,19,13,2024-06-01,4,Five  stars  for  the  quick  delivery.,0.0,Positive,0.0 to 0.49
